epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.5183,1.3273,0.8221,0.5311,1.0000e-04
2,0.8131,0.5560,0.8474,0.4720,1.0000e-04
3,0.8818,0.3522,0.8316,0.4837,1.0000e-04
4,0.9105,0.2610,0.8674,0.4195,1.0000e-04
5,0.9434,0.1995,0.8611,0.5089,1.0000e-04
6,0.9394,0.1846,0.8632,0.5068,1.0000e-04
7,0.9547,0.1335,0.8611,0.4839,1.0000e-04
8,0.9638,0.1138,0.8895,0.3615,2.5000e-05
9,0.9755,0.0758,0.8947,0.3461,2.5000e-05
10,0.9822,0.0624,0.8884,0.3680,2.5000e-05
11,0.9798,0.0564,0.8937,0.3824,2.5000e-05
12,0.9852,0.0475,0.8968,0.3630,2.5000e-05
13,0.9843,0.0468,0.9000,0.3653,6.2500e-06
14,0.9933,0.0341,0.9011,0.3591,6.2500e-06
15,0.9929,0.0285,0.9021,0.3560,6.2500e-06
16,0.9940,0.0276,0.9021,0.3535,1.5625e-06
17,0.9950,0.0250,0.9063,0.3522,1.5625e-06
18,0.9956,0.0246,0.9032,0.3541,1.5625e-06
19,0.9937,0.0310,0.9042,0.3558,1.0000e-06
20,0.9940,0.0263,0.9032,0.3609,1.0000e-06
21,0.9931,0.0247,0.9032,0.3577,1.0000e-06
22,0.9902,0.0333,0.9042,0.3580,1.0000e-06
23,0.9939,0.0249,0.9042,0.3566,1.0000e-06
24,0.9904,0.0313,0.9032,0.3588,1.0000e-06
25,0.9946,0.0302,0.9042,0.3596,1.0000e-06
26,0.9944,0.0247,0.9053,0.3622,1.0000e-06
27,0.9878,0.0337,0.9053,0.3583,1.0000e-06
28,0.9955,0.0223,0.8989,0.3658,1.0000e-06
29,0.9925,0.0261,0.9032,0.3595,1.0000e-06
30,0.9956,0.0236,0.9032,0.3580,1.0000e-06
31,0.9961,0.0178,0.8989,0.3592,1.0000e-06
32,0.9933,0.0281,0.9011,0.3649,1.0000e-06
33,0.9933,0.0273,0.9011,0.3586,1.0000e-06
34,0.9954,0.0242,0.9011,0.3573,1.0000e-06
35,0.9951,0.0231,0.9032,0.3589,1.0000e-06
36,0.9950,0.0245,0.9021,0.3548,1.0000e-06
37,0.9947,0.0225,0.9011,0.3555,1.0000e-06
38,0.9908,0.0274,0.9032,0.3583,1.0000e-06
39,0.9926,0.0329,0.9011,0.3559,1.0000e-06
40,0.9944,0.0236,0.9011,0.3568,1.0000e-06
41,0.9935,0.0240,0.9000,0.3576,1.0000e-06
42,0.9938,0.0198,0.9021,0.3562,1.0000e-06
43,0.9950,0.0176,0.9011,0.3589,1.0000e-06
44,0.9934,0.0217,0.9011,0.3559,1.0000e-06
45,0.9963,0.0185,0.9011,0.3592,1.0000e-06
46,0.9936,0.0217,0.8989,0.3560,1.0000e-06
47,0.9946,0.0216,0.9021,0.3563,1.0000e-06
48,0.9958,0.0210,0.9042,0.3569,1.0000e-06
49,0.9968,0.0188,0.9011,0.3547,1.0000e-06
50,0.9949,0.0210,0.9000,0.3608,1.0000e-06
